... loading data
... building the model
... training the model
epoch 288, minibatch 83/83, validation error 6.979167 %
epoch 289, minibatch 83/83, validation error 6.979167 %
epoch 290, minibatch 83/83, validation error 6.979167 %
epoch 291, minibatch 83/83, validation error 6.958333 %
     epoch 291, minibatch 83/83, test error of best model 7.177083 %
epoch 292, minibatch 83/83, validation error 6.958333 %
epoch 293, minibatch 83/83, validation error 6.958333 %
epoch 294, minibatch 83/83, validation error 6.958333 %
epoch 295, minibatch 83/83, validation error 6.958333 %
epoch 296, minibatch 83/83, validation error 6.958333 %
epoch 297, minibatch 83/83, validation error 6.958333 %
epoch 298, minibatch 83/83, validation error 6.947917 %
     epoch 298, minibatch 83/83, test error of best model 7.156250 %
epoch 299, minibatch 83/83, validation error 6.947917 %
epoch 300, minibatch 83/83, validation error 6.947917 %
epoch 301, minibatch 83/83, validation error 6.947917 %
epoch 302, minibatch 83/83, validation error 6.947917 %
epoch 303, minibatch 83/83, validation error 6.947917 %
epoch 304, minibatch 83/83, validation error 6.927083 %
     epoch 304, minibatch 83/83, test error of best model 7.135417 %
epoch 305, minibatch 83/83, validation error 6.927083 %
epoch 306, minibatch 83/83, validation error 6.937500 %
epoch 307, minibatch 83/83, validation error 6.947917 %
epoch 308, minibatch 83/83, validation error 6.937500 %
epoch 309, minibatch 83/83, validation error 6.937500 %
epoch 310, minibatch 83/83, validation error 6.937500 %
epoch 311, minibatch 83/83, validation error 6.937500 %
epoch 312, minibatch 83/83, validation error 6.937500 %
epoch 313, minibatch 83/83, validation error 6.937500 %
epoch 314, minibatch 83/83, validation error 6.947917 %
epoch 315, minibatch 83/83, validation error 6.937500 %
epoch 316, minibatch 83/83, validation error 6.937500 %
epoch 317, minibatch 83/83, validation error 6.937500 %
epoch 318, minibatch 83/83, validation error 6.937500 %
epoch 319, minibatch 83/83, validation error 6.937500 %
epoch 320, minibatch 83/83, validation error 6.937500 %
epoch 321, minibatch 83/83, validation error 6.937500 %
epoch 322, minibatch 83/83, validation error 6.927083 %
epoch 323, minibatch 83/83, validation error 6.927083 %
epoch 324, minibatch 83/83, validation error 6.927083 %
epoch 325, minibatch 83/83, validation error 6.927083 %
epoch 326, minibatch 83/83, validation error 6.927083 %
epoch 327, minibatch 83/83, validation error 6.927083 %
epoch 328, minibatch 83/83, validation error 6.916667 %
     epoch 328, minibatch 83/83, test error of best model 7.135417 %
epoch 329, minibatch 83/83, validation error 6.916667 %
epoch 330, minibatch 83/83, validation error 6.916667 %
epoch 331, minibatch 83/83, validation error 6.916667 %
epoch 332, minibatch 83/83, validation error 6.916667 %
epoch 333, minibatch 83/83, validation error 6.916667 %
epoch 334, minibatch 83/83, validation error 6.906250 %
     epoch 334, minibatch 83/83, test error of best model 7.156250 %
epoch 335, minibatch 83/83, validation error 6.906250 %
epoch 336, minibatch 83/83, validation error 6.906250 %
epoch 337, minibatch 83/83, validation error 6.895833 %
     epoch 337, minibatch 83/83, test error of best model 7.156250 %
epoch 338, minibatch 83/83, validation error 6.906250 %
epoch 339, minibatch 83/83, validation error 6.906250 %
epoch 340, minibatch 83/83, validation error 6.906250 %
epoch 341, minibatch 83/83, validation error 6.906250 %
epoch 342, minibatch 83/83, validation error 6.906250 %
epoch 343, minibatch 83/83, validation error 6.906250 %
epoch 344, minibatch 83/83, validation error 6.906250 %
epoch 345, minibatch 83/83, validation error 6.906250 %
epoch 346, minibatch 83/83, validation error 6.906250 %
epoch 347, minibatch 83/83, validation error 6.906250 %
epoch 348, minibatch 83/83, validation error 6.906250 %
epoch 349, minibatch 83/83, validation error 6.906250 %
epoch 350, minibatch 83/83, validation error 6.906250 %
epoch 351, minibatch 83/83, validation error 6.906250 %
epoch 352, minibatch 83/83, validation error 6.906250 %
epoch 353, minibatch 83/83, validation error 6.906250 %
epoch 354, minibatch 83/83, validation error 6.906250 %
epoch 355, minibatch 83/83, validation error 6.906250 %
epoch 356, minibatch 83/83, validation error 6.906250 %
epoch 357, minibatch 83/83, validation error 6.906250 %
epoch 358, minibatch 83/83, validation error 6.906250 %
epoch 359, minibatch 83/83, validation error 6.906250 %
epoch 360, minibatch 83/83, validation error 6.916667 %
epoch 361, minibatch 83/83, validation error 6.916667 %
epoch 362, minibatch 83/83, validation error 6.916667 %
epoch 363, minibatch 83/83, validation error 6.927083 %
epoch 364, minibatch 83/83, validation error 6.927083 %
epoch 365, minibatch 83/83, validation error 6.937500 %
epoch 366, minibatch 83/83, validation error 6.937500 %
epoch 367, minibatch 83/83, validation error 6.937500 %
epoch 368, minibatch 83/83, validation error 6.937500 %
epoch 369, minibatch 83/83, validation error 6.937500 %
epoch 370, minibatch 83/83, validation error 6.958333 %
epoch 371, minibatch 83/83, validation error 6.968750 %
epoch 372, minibatch 83/83, validation error 6.968750 %
epoch 373, minibatch 83/83, validation error 6.968750 %
epoch 374, minibatch 83/83, validation error 6.968750 %
epoch 375, minibatch 83/83, validation error 6.968750 %
epoch 376, minibatch 83/83, validation error 6.968750 %
epoch 377, minibatch 83/83, validation error 6.968750 %
epoch 378, minibatch 83/83, validation error 6.968750 %
epoch 379, minibatch 83/83, validation error 6.968750 %
epoch 380, minibatch 83/83, validation error 6.968750 %
epoch 381, minibatch 83/83, validation error 6.968750 %
epoch 382, minibatch 83/83, validation error 6.968750 %
epoch 383, minibatch 83/83, validation error 6.968750 %
epoch 384, minibatch 83/83, validation error 6.968750 %
epoch 385, minibatch 83/83, validation error 6.958333 %
epoch 386, minibatch 83/83, validation error 6.968750 %
epoch 387, minibatch 83/83, validation error 6.968750 %
epoch 388, minibatch 83/83, validation error 6.968750 %
epoch 389, minibatch 83/83, validation error 6.968750 %
epoch 390, minibatch 83/83, validation error 6.968750 %
epoch 391, minibatch 83/83, validation error 6.968750 %
epoch 392, minibatch 83/83, validation error 6.968750 %
epoch 393, minibatch 83/83, validation error 6.968750 %
epoch 394, minibatch 83/83, validation error 6.968750 %
epoch 395, minibatch 83/83, validation error 6.968750 %
epoch 396, minibatch 83/83, validation error 6.968750 %
epoch 397, minibatch 83/83, validation error 6.968750 %
epoch 398, minibatch 83/83, validation error 6.979167 %
epoch 399, minibatch 83/83, validation error 6.979167 %
epoch 400, minibatch 83/83, validation error 6.979167 %
epoch 401, minibatch 83/83, validation error 6.979167 %
epoch 402, minibatch 83/83, validation error 6.989583 %
epoch 403, minibatch 83/83, validation error 6.989583 %
epoch 404, minibatch 83/83, validation error 6.989583 %
epoch 405, minibatch 83/83, validation error 6.979167 %
epoch 406, minibatch 83/83, validation error 6.989583 %
epoch 407, minibatch 83/83, validation error 6.989583 %
epoch 408, minibatch 83/83, validation error 6.989583 %
epoch 409, minibatch 83/83, validation error 6.989583 %
epoch 410, minibatch 83/83, validation error 6.968750 %
epoch 411, minibatch 83/83, validation error 6.968750 %
epoch 412, minibatch 83/83, validation error 6.968750 %
epoch 413, minibatch 83/83, validation error 6.968750 %
epoch 414, minibatch 83/83, validation error 6.968750 %
epoch 415, minibatch 83/83, validation error 6.968750 %
epoch 416, minibatch 83/83, validation error 6.968750 %
epoch 417, minibatch 83/83, validation error 6.968750 %
epoch 418, minibatch 83/83, validation error 6.968750 %
epoch 419, minibatch 83/83, validation error 6.979167 %
epoch 420, minibatch 83/83, validation error 6.989583 %
epoch 421, minibatch 83/83, validation error 6.989583 %
epoch 422, minibatch 83/83, validation error 6.989583 %
epoch 423, minibatch 83/83, validation error 6.989583 %
epoch 424, minibatch 83/83, validation error 6.979167 %
epoch 425, minibatch 83/83, validation error 6.979167 %
epoch 426, minibatch 83/83, validation error 6.979167 %
epoch 427, minibatch 83/83, validation error 6.979167 %
epoch 428, minibatch 83/83, validation error 6.979167 %
epoch 429, minibatch 83/83, validation error 6.979167 %
epoch 430, minibatch 83/83, validation error 6.989583 %
epoch 431, minibatch 83/83, validation error 6.989583 %
epoch 432, minibatch 83/83, validation error 6.989583 %
epoch 433, minibatch 83/83, validation error 6.979167 %
epoch 434, minibatch 83/83, validation error 6.968750 %
epoch 435, minibatch 83/83, validation error 6.979167 %
epoch 436, minibatch 83/83, validation error 6.979167 %
