... loading data
... building the model
... training
epoch 320, minibatch 2500/2500, validation error 1.890000 %
epoch 321, minibatch 2500/2500, validation error 1.890000 %
epoch 322, minibatch 2500/2500, validation error 1.890000 %
epoch 323, minibatch 2500/2500, validation error 1.890000 %
epoch 324, minibatch 2500/2500, validation error 1.890000 %
epoch 325, minibatch 2500/2500, validation error 1.890000 %
epoch 326, minibatch 2500/2500, validation error 1.890000 %
epoch 327, minibatch 2500/2500, validation error 1.890000 %
epoch 328, minibatch 2500/2500, validation error 1.890000 %
epoch 329, minibatch 2500/2500, validation error 1.890000 %
epoch 330, minibatch 2500/2500, validation error 1.890000 %
epoch 331, minibatch 2500/2500, validation error 1.890000 %
epoch 332, minibatch 2500/2500, validation error 1.890000 %
epoch 333, minibatch 2500/2500, validation error 1.890000 %
epoch 334, minibatch 2500/2500, validation error 1.890000 %
epoch 335, minibatch 2500/2500, validation error 1.890000 %
epoch 336, minibatch 2500/2500, validation error 1.890000 %
epoch 337, minibatch 2500/2500, validation error 1.890000 %
epoch 338, minibatch 2500/2500, validation error 1.890000 %
epoch 339, minibatch 2500/2500, validation error 1.890000 %
epoch 340, minibatch 2500/2500, validation error 1.890000 %
epoch 341, minibatch 2500/2500, validation error 1.890000 %
epoch 342, minibatch 2500/2500, validation error 1.890000 %
epoch 343, minibatch 2500/2500, validation error 1.890000 %
epoch 344, minibatch 2500/2500, validation error 1.890000 %
epoch 345, minibatch 2500/2500, validation error 1.880000 %
     epoch 345, minibatch 2500/2500, test error of best model 1.810000 %
epoch 346, minibatch 2500/2500, validation error 1.880000 %
epoch 347, minibatch 2500/2500, validation error 1.880000 %
epoch 348, minibatch 2500/2500, validation error 1.880000 %
epoch 349, minibatch 2500/2500, validation error 1.880000 %
epoch 350, minibatch 2500/2500, validation error 1.880000 %
epoch 351, minibatch 2500/2500, validation error 1.880000 %
epoch 352, minibatch 2500/2500, validation error 1.880000 %
epoch 353, minibatch 2500/2500, validation error 1.880000 %
epoch 354, minibatch 2500/2500, validation error 1.880000 %
epoch 355, minibatch 2500/2500, validation error 1.880000 %
epoch 356, minibatch 2500/2500, validation error 1.880000 %
epoch 357, minibatch 2500/2500, validation error 1.870000 %
     epoch 357, minibatch 2500/2500, test error of best model 1.810000 %
epoch 358, minibatch 2500/2500, validation error 1.870000 %
epoch 359, minibatch 2500/2500, validation error 1.870000 %
epoch 360, minibatch 2500/2500, validation error 1.870000 %
epoch 361, minibatch 2500/2500, validation error 1.870000 %
epoch 362, minibatch 2500/2500, validation error 1.870000 %
epoch 363, minibatch 2500/2500, validation error 1.870000 %
epoch 364, minibatch 2500/2500, validation error 1.860000 %
     epoch 364, minibatch 2500/2500, test error of best model 1.810000 %
epoch 365, minibatch 2500/2500, validation error 1.850000 %
     epoch 365, minibatch 2500/2500, test error of best model 1.800000 %
epoch 366, minibatch 2500/2500, validation error 1.850000 %
epoch 367, minibatch 2500/2500, validation error 1.850000 %
epoch 368, minibatch 2500/2500, validation error 1.850000 %
epoch 369, minibatch 2500/2500, validation error 1.850000 %
epoch 370, minibatch 2500/2500, validation error 1.860000 %
epoch 371, minibatch 2500/2500, validation error 1.860000 %
epoch 372, minibatch 2500/2500, validation error 1.860000 %
epoch 373, minibatch 2500/2500, validation error 1.860000 %
epoch 374, minibatch 2500/2500, validation error 1.860000 %
epoch 375, minibatch 2500/2500, validation error 1.860000 %
epoch 376, minibatch 2500/2500, validation error 1.860000 %
epoch 377, minibatch 2500/2500, validation error 1.860000 %
epoch 378, minibatch 2500/2500, validation error 1.860000 %
epoch 379, minibatch 2500/2500, validation error 1.860000 %
epoch 380, minibatch 2500/2500, validation error 1.860000 %
epoch 381, minibatch 2500/2500, validation error 1.860000 %
epoch 382, minibatch 2500/2500, validation error 1.860000 %
epoch 383, minibatch 2500/2500, validation error 1.860000 %
epoch 384, minibatch 2500/2500, validation error 1.860000 %
epoch 385, minibatch 2500/2500, validation error 1.860000 %
